URL,80,443
https://ksd.or.kr,,X,
https://m.ksd.or.kr,,X,
https://bsmuseum.ksd.or.kr,,X,
https://ibond.ksd.or.kr,,X,
https://lei-k.ksd.or.kr,,X,
https://api.ksd.or.kr,,X,
http://e-safe.ksd.or.kr,X,,
https://safetest.ksd.or.kr,,X,
https://e-safetest.ksd.or.kr,,X,
http://crowdnet.ksd.or.kr,X,,
http://mailtrack.ksd.or.kr,X,,
https://safeplus.ksd.or.kr,,X,
http://deploy.ksd.or.kr,X,,
http://eng.ksd.or.kr,X,,
http://sb.ksd.or.kr,X,,
https://ta.ksd.or.kr,,X,
http://museum.ksd.or.kr,X,,
http://nanum.ksd.or.kr,X,,
http://www.ksd.or.kr,X,,
http://www2.ksd.or.kr,X,,
http://deployproxy.ksd.or.kr,X,,
